Description,Title
"FASHION - 
                                Well cut suit, blazer, grey trousers, oxford shirt..",Boggi
"FASHION - 
                                Leather goods",Bottega Veneta
"FASHION - 
                                Jewellery",Boucheron
FASHION -,Boutique
"FASHION - 
                                Men Formal Wear",Brioni
"FASHION - 
                                Men Fashion",Brooks Brothers
"FASHION - 
                                Fashion",Brunello Cucinelli
"FASHION - 
                                Men / Women Fashion with brands like Philipp Plein..",Bugatti B More
"FASHION - 
                                clothing, fashion accessories, fragrances, sunglas..",Burberry
"FASHION - 
                                footwear and accessories",Call it Spring
"FASHION - 
                                Socks, Leggings, Stockings and Beachwear",Calzedonia
"FASHION - 
                                Men's luxury fine tailored clothing, ties, belts, ..",Canali
"FASHION - 
                                Handbags",Carpisa
"FASHION - 
                                Bags, accessories, homeware, fashion and things fo..",Cath Kidston
"FASHION - 
                                women's apparel, shoes & leather goods.",Céline
"FASHION - 
                                Deluxe men and women's ready-to-wear clothing, eye..",Cerruti
"FASHION - 
                                women’s, men’s, children's, accessories and specia..",CH Carolina Herrera
"FASHION - 
                                Ladies Footwear and Bags",Charles and Keith
"FASHION - 
                                Footwear",Charlotte Olympia
"FASHION - 
                                Footwear",Christian Louboutin
"FASHION - 
                                Undergarments",CK
"FASHION - 
                                Ladies Fashion",Claire’s
FASHION -,Clarks
"FASHION - 
                                Men and Women handbags, men's bags, women's and me..",Coach
"FASHION - 
                                Ladies Fashion and Accessories.",Coast
"FASHION - 
                                Men, Women, Kids Sportswear",Columbia
"FASHION - 
                                Hugo Boss, Thierry Mugler, Lancaster, Gianvito Ros..",Concept Big Brands Carnival
"FASHION - 
                                Assorted bags/ travel goods, featuring high qualit..",Condotti
"FASHION - 
                                men's and women's footwear and apparel.",Converse
"FASHION - 
                                Fashion for Men and Women",COS
"FASHION - 
                                Footwear",Crocs
"FASHION - 
                                casual/formal wear, men's women's, kids, accessori..",Debenhams
"FASHION - 
                                Women Fashion",DIANE von FURSTENBERG
FASHION -,Diesel
"FASHION - 
                                Men and Wome Fashion",Dirk Bikkembergs
"FASHION - 
                                Women Fashion",DKNY
"FASHION - 
                                Womens Fashion",Dorothy Perkins
"FASHION - 
                                Eyewear",Dubai Optical
"FASHION - 
                                Ladies Footwear and Bags",Dune
"FASHION - 
                                Footwear for men, women, kids",ecco
"FASHION - 
                                Women Fashion",Elie Tahari
"FASHION - 
                                Women Fashion",Emilio Pucci
"FASHION - 
                                Mens Fashion, Womens Fashion, Eyewear, Watches and..",Emporio Armani
FASHION -,Ermenegildo Zegna
"FASHION - 
                                Women Fashion",Etoile La boutique
"FASHION - 
                                Women Fashion",Evans
"FASHION - 
                                Cartier, Montblanc, Bvlgari, Italia Independent, T..",Eye Zone- Rivoli
"FASHION - 
                                Men, Women, Children Footwear",Fabi
"FASHION - 
                                Clothing, Shoes, Accessories",Façonnable
"FASHION - 
                                Cosmetics",Flormar
"FASHION - 
                                Shoes : Basketball, Boots, Casuals, Running, Sanda..",Foot Locker
"FASHION - 
                                Ladies Fashion",Forever 21
"FASHION - 
                                 men and women Fashion",French Connection
"FASHION - 
                                Men Fashion",G-Star Raw
FASHION -,G2000
"FASHION - 
                                Men's and womens fashionable wear, casuals, shirts..",GANT
"FASHION - 
                                casual, men's women's, kids, accessories",GAP
FASHION -,GC
"FASHION - 
                                Footwear",Geox
"FASHION - 
                                Fashion for Men and Women",Gianfranco Ferré
"FASHION - 
                                Men and Women's wear",Giordano
"FASHION - 
                                Men and Women Fashion",Giorgio Armani
"FASHION - 
                                Sports - Apparel, footwear, equipment and accessor..",Go Sport
"FASHION - 
                                For Women & Kids: Stockings, Beachwear, Lingerie, ..",Goldenpoint
FASHION -,Grand Optics
FASHION -,Gucci
"FASHION - 
                                ladies, men, teenagers and children Fashion.",H&M
FASHION -,Hackett
"FASHION - 
                                Women Fashion",Halston Heritage
"FASHION - 
                                Abayas and Sheilas",Hanayen
"FASHION - 
                                Men Fashion",Harmont & Blaine
